state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
QLD,UG,4,HAMILTON,Chey Geoffrey,,Independent
QLD,UG,5,SMITH,Lorraine,,Independent
QLD,UG,6,QUINLIVAN,Laurence,,Independent
QLD,UG,7,KOCHARDY,Karakan Karoly,,Independent
QLD,UG,8,ROGERS,Peter,,Independent
SA,A,1,MARKOS,Ian,Liberal Democrats,Liberal Democrats
SA,A,2,SMITH,Josh,Liberal Democrats,Liberal Democrats
SA,B,1,PFEIFFER,Louise,Animal Justice Party,Animal Justice Party
SA,B,2,PASTRO,Julie,Animal Justice Party,Animal Justice Party
SA,C,1,BIRMINGHAM,Simon,Liberal,Liberal
SA,C,2,McLACHLAN,Andrew,Liberal,Liberal
SA,C,3,LIDDLE,Kerrynne,Liberal,Liberal
SA,C,4,STOCK,Tania,Liberal,Liberal
SA,D,1,WONG,Penny,Australian Labor Party,Australian Labor Party
SA,D,2,FARRELL,Don,Australian Labor Party,Australian Labor Party
SA,D,3,GILL,Trimann,Australian Labor Party,Australian Labor Party
SA,D,4,SUTTON,Joanne,Australian Labor Party,Australian Labor Party
SA,D,5,OWENS,Belinda,Australian Labor Party,Australian Labor Party
SA,E,1,DAY,Bob,,
SA,E,2,AMADIO,Pat,,
SA,F,1,EASON,Jo-Anne,The Great Australian Party,The Great Australian Party
SA,F,2,BENNETT,Trevor,The Great Australian Party,The Great Australian Party
SA,G,1,BLANDFORD,Lisa,National Party,National Party
SA,G,2,BUIJS,Damien,National Party,National Party
SA,H,1,MICHIE,Elise,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
SA,H,2,DUXBURY,Jack,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
SA,I,1,FINNEY,Julie-Ann,The Local Party,The Local Party
SA,I,2,PARNELL,Rodney Kenneth,The Local Party,The Local Party
SA,J,1,BYRNE,Cathy,Australian Federation Party,Australian Federation Party
SA,J,2,DUFFIELD,Nick,Australian Federation Party,Australian Federation Party
SA,K,1,YAZBEK,Roger,Australian Democrats,Australian Democrats
SA,K,2,KANCK,Sandra,Australian Democrats,Australian Democrats
SA,L,1,YARMUHAMMAD,Adila,Drew Pavlou Democratic Alliance,Drew Pavlou Democratic Alliance
SA,L,2,YARMUHAMMAD,Amina,Drew Pavlou Democratic Alliance,Drew Pavlou Democratic Alliance
SA,M,1,KAUR,Harmeet,,
SA,M,2,KUMAR,Rajesh,,
SA,N,1,WOLFENDALE,Drew,"FUSION: Science, Pirate, Secular, Climate Emergency","FUSION: Science, Pirate, Secular, Climate Emergency"
SA,N,2,KENNEDY,David,"FUSION: Science, Pirate, Secular, Climate Emergency","FUSION: Science, Pirate, Secular, Climate Emergency"
SA,O,1,XENOPHON,Nick,,
SA,O,2,GRIFF,Stirling,,
SA,P,1,POCOCK,Barbara,The Greens,The Greens
SA,P,2,SUMNER,Major Moogy,The Greens,The Greens
SA,P,3,SELWOOD,Melanie,The Greens,The Greens
SA,Q,1,CRUISE,Raina,Informed Medical Options Party,Informed Medical Options Party
SA,Q,2,HARLEY,Heather,Informed Medical Options Party,Informed Medical Options Party
SA,R,1,PATRICK,Rex,Rex Patrick Team,Rex Patrick Team
SA,R,2,McMAHON,Leonie,Rex Patrick Team,Rex Patrick Team
SA,S,1,GAME,Jennifer,Pauline Hanson's One Nation,Pauline Hanson's One Nation
SA,S,2,WATCHMAN,Alan,Pauline Hanson's One Nation,Pauline Hanson's One Nation
SA,T,1,GREEN,Tyler Bradley,Legalise Cannabis Australia,Legalise Cannabis Australia
SA,T,2,ADAMS,Angela,Legalise Cannabis Australia,Legalise Cannabis Australia
SA,U,1,ARBON,Michael,United Australia Party,United Australia Party
SA,U,2,SCHILD,Caelum,United Australia Party,United Australia Party
SA,V,1,FRANCIS,Russell,Citizens Party,Citizens Party
SA,V,2,CURREY,Rodney,Citizens Party,Citizens Party
SA,UG,1,HOPPER,Michael,,Independent
